en,cn
become,变成
gold,金子
ago,以前;以往
long ago,很久以前
magic,有魔力的
paintbrush,画笔
women,妇女;女性
became,(become的过去式)变成
real,真实的
bad,坏的;不好的
took,(take的过去式)拿走
away,离去;离开
leaves,(leaf的复数形式)树叶
only,只;仅仅
painting,(一幅)画;绘画作品
angry,生气的;愤怒的
said,(say的过去式)说 
doll,玩偶;玩具娃娃
matter,事情
lost,(lose的过去式)丢失
found,(find的过去式)发现
key,钥匙
look for,寻找
favourite,喜爱;爱好
stand up,站起来
when,什么时候
came,(come的过去式)来
competition,比赛
won,(win的过去式)赢;获胜
gold,金制的
cup,奖杯
flute,长笛
practise,练习
took,(take的过去式)拍摄
look,看上去……
a lot,经常;长时间地
happen,发生
fall off,从……跌落
bike ride,骑自行车
thirsty,渴的
water,水
watermelon,西瓜
carried,(carry的过去式)拿;搬
bump,碰;撞
hurt,(hurt的过去式)使疼痛；使受伤
knee,膝盖
cut,(cut的过去式)切;割
finger,手指
early,早
every,每个;每一
during,在……期间
computer game,计算机游戏
take,服(药)
medicine,药
a lot of,许多的
exercise,运动;锻炼
healthy,有益健康的;健康的
juice,果汁
before,在……之前
after,在……之后
toilet,厕所